Year end,Main reason for migration,All citizenships,British (Including Overseas Territories),Non-British,European Union,European Union EU15,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Middle East and Central Asia,East Asia,South Asia,South East Asia,Rest of the World,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
YE Sep 07,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 07,All reasons,318,159,158,65,37,25,0~,2,93,6,39,2,15,16,6,48,13,0~,8,5,21
YE Mar 08,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 08,All reasons,357,162,196,95,40,43,10,2,101,7,41,2,15,18,6,54,12,1,10,6,24
YE Sep 08,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 08,All reasons,409,166,243,133,54,67,12,0~,110,9,41,2,15,19,5,60,12,2,12,7,26
YE Mar 09,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 09,All reasons,370,146,224,116,54,57,3,1,109,8,43,2,15,20,6,57,14,1,12,5,26
YE Sep 09,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 09,All reasons,337,127,211,102,52,47,2,1,109,4,48,3,18,21,6,57,11,1,15,4,26
YE Mar 10,All reasons,335,119,216,107,57,46,3,1,109,6,51,4,20,21,6,52,10,1,14,4,23
YE Jun 10,All reasons,316,115,201,96,52,40,3,1,105,5,48,4,18,20,6,52,10,1,14,5,22
YE Sep 10,All reasons,312,122,189,91,59,29,2,1,98,5,49,4,19,19,6,45,10,1,11,5,18
YE Dec 10,All reasons,310,125,185,91,57,31,2,1,94,5,46,5,17,18,6,43,10,1,11,4,16
YE Mar 11,All reasons,307,130,177,84,50,32,1,1,93,5,45,4,14,20,7,43,9,1,12,4,16
YE Jun 11,All reasons,315,131,183,89,50,35,3,1,95,7,46,4,14,22,6,41,9,1,11,4,16
YE Sep 11,All reasons,318,134,184,86,45,35,4,1,98,8,48,4,14,22,7,43,8,1,13,4,17
YE Dec 11,All reasons,332,142,190,87,48,33,4,1,103,7,56,4,17,27,8,39,7,1,11,3,16
YE Mar 12,All reasons,333,144,189,85,48,31,4,1,104,7,58,3,18,27,9,39,8,1,11,3,16
YE Jun 12,All reasons,331,148,184,81,48,28,3,2,103,5,59,3,19,27,11,38,8,1,12,3,15
YE Sep 12,All reasons,322,143,179,78,47,27,2,2,101,5,64,4,22,27,11,33,8,1,10,3,12
YE Dec 12,All reasons,298,134,165,69,39,26,3,1,96,4,58,4,20,24,10,34,7,1,10,4,12
YE Mar 13,All reasons,295,133,162,69,40,25,3,1,93,4,57,4,21,24,9,32,6,1,10,4,11
YE Jun 13,All reasons,297,131,166,71,42,26,2,1,94,5,57,4,20,24,8,32,6,1,9,4,12
YE Sep 13,All reasons,296,128,168,72,45,22,3,2,96,6,53,3,18,24,8,38,6,1,12,5,13
YE Dec 13,All reasons,295,125,170,73,45,23,3,2,97,6,54,4,20,22,7,38,7,2,13,4,13
YE Mar 14,All reasons,294,121,174,77,48,24,3,2,97,6,54,4,21,21,8,37,8,1,13,3,12
YE Jun 14,All reasons,299,122,177,79,47,26,4,2,98,6,55,4,22,20,9,37,8,1,12,3,12
YE Sep 14,All reasons,302,125,176,82,46,31,4,1,95,6,58,5,27,17,8,31,6,1,9,2,12
YE Dec 14,All reasons,297,127,171,83,49,29,4,1,87,6,55,4,26,18,7,26,5,1,8,1,11
YE Mar 15,All reasons,284,122,162,79,47,27,4,1,83,6,52,4,24,16,7,26,4,1,9,1,11
YE Jun 15,All reasons,279,120,159,79,47,26,4,1,80,4,51,4,24,17,6,25,4,1,9,1,10
YE Sep 15,All reasons,275,118,157,79,48,24,5,1,78,3,48,4,21,17,7,27,5,1,9,4,7
YE Dec 15,All reasons,279,114,165,79,48,24,6,1,85,3,50,4,20,18,8,32,6,1,10,5,9
YE Mar 16,All reasons,287,116,171,83,50,26,7,1,88,4,52,5,20,19,9,32,6,1,12,5,8
YE Jun 16,All reasons,293,116,177,88,52,28,7,1,88,4,51,4,21,18,8,33,5,2,11,5,11
YE Sep 16,All reasons,300,116,184,96,50,36,9,2,88,3,48,5,18,18,8,38,6,2,16,4,11
YE Dec 16,All reasons,316,121,195,111,57,40,12,2,84,3,47,6,17,16,8,34,4,2,16,3,9
YE Mar 17p,All reasons,318,120,198,116,57,43,15,2,81,3,46,6,18,16,7,33,4,2,15,4,9
YE Jun 17p,All reasons,316,111,204,119,62,39,16,2,85,4,46,6,17,15,8,35,4,2,15,4,9
YE Sep 07,Work related,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 07,Work related,172,74,98,35,20,12,0~,2,63,2,28,1,11,11,4,33,10,.,4,3,17
YE Mar 08,Work related,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 08,Work related,195,87,107,39,18,19,.,2,69,2,30,1,12,11,5,36,9,1,4,4,19
YE Sep 08,Work related,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 08,Work related,217,91,127,53,23,29,0~,0~,74,5,29,1,11,12,5,40,10,1,6,3,20
YE Mar 09,Work related,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 09,Work related,209,75,134,60,29,30,1,1,74,4,31,1,11,14,5,39,9,0~,7,2,20
YE Sep 09,Work related,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 09,Work related,203,64,139,60,35,23,1,1,79,2,36,2,13,15,5,40,7,1,10,2,20
YE Mar 10,Work related,203,60,144,66,38,24,2,1,78,3,38,3,15,15,5,37,6,1,9,3,18
YE Jun 10,Work related,190,59,131,55,33,19,2,1,76,3,36,3,13,15,5,37,6,1,10,3,17
YE Sep 10,Work related,182,61,121,52,34,15,2,1,69,3,37,3,13,16,4,30,7,1,6,3,13
YE Dec 10,Work related,181,67,114,46,28,15,2,1,68,4,35,4,12,15,4,29,8,1,6,3,12
YE Mar 11,Work related,173,69,105,37,23,13,1,1,68,4,35,3,10,17,5,28,6,1,6,3,12
YE Jun 11,Work related,181,70,110,41,25,15,1,0~,69,6,36,3,10,18,4,27,6,1,6,2,12
YE Sep 11,Work related,185,73,112,40,23,16,1,1,72,7,37,3,11,18,5,28,5,1,6,2,14
YE Dec 11,Work related,196,78,117,41,25,14,1,1,76,6,45,3,13,22,7,25,4,1,6,3,12
YE Mar 12,Work related,202,81,121,44,28,15,1,1,77,6,45,2,14,22,7,26,4,1,6,2,13
YE Jun 12,Work related,196,82,114,41,26,13,0~,1,73,4,45,2,14,21,7,25,4,1,7,2,11
YE Sep 12,Work related,193,79,114,39,27,10,0~,2,74,4,48,3,17,22,6,23,5,1,6,2,9
YE Dec 12,Work related,175,72,103,33,23,9,1,1,70,3,42,3,15,19,6,24,5,1,7,3,9
YE Mar 13,Work related,177,74,104,34,23,9,0~,1,70,3,42,3,15,19,5,25,5,1,7,3,9
YE Jun 13,Work related,181,75,106,35,23,10,0~,1,72,3,43,3,15,20,5,26,5,1,6,3,10
YE Sep 13,Work related,180,75,104,34,23,9,1,1,70,2,40,2,13,19,6,28,4,1,8,4,11
YE Dec 13,Work related,181,74,107,37,24,11,0~,1,70,3,40,2,15,17,6,27,5,1,8,3,10
YE Mar 14,Work related,176,68,108,39,26,11,1,1,69,2,41,3,16,16,6,26,5,1,7,2,9
YE Jun 14,Work related,174,68,107,40,25,11,2,1,67,3,39,3,15,14,6,25,5,1,8,2,8
YE Sep 14,Work related,174,67,107,45,27,15,3,1,62,3,39,4,17,13,5,20,4,1,5,2,8
YE Dec 14,Work related,171,67,104,46,29,13,3,1,58,3,38,3,17,14,4,17,3,0~,5,1,7
YE Mar 15,Work related,159,65,94,40,25,12,3,1,54,3,34,3,15,13,3,16,2,0~,6,1,7
YE Jun 15,Work related,163,64,99,43,28,12,1,1,57,3,36,3,16,14,3,17,3,0~,6,1,7
YE Sep 15,Work related,160,61,99,43,30,10,2,1,56,3,35,2,16,14,4,18,4,1,7,2,5
YE Dec 15,Work related,159,57,102,42,28,11,2,1,60,3,36,2,15,14,6,21,5,1,7,2,6
YE Mar 16,Work related,163,58,105,44,29,12,3,1,61,3,37,2,15,14,6,21,5,1,8,2,5
YE Jun 16,Work related,161,60,101,42,26,12,3,1,59,2,37,2,16,13,6,20,4,1,6,3,6
YE Sep 16,Work related,159,57,102,41,24,13,4,1,61,1,34,3,13,13,5,25,4,2,9,3,7
YE Dec 16,Work related,171,65,106,48,26,16,6,0~,58,1,34,4,14,12,5,22,3,2,9,3,6
YE Mar 17p,Work related,174,64,110,53,30,17,6,0~,56,1,34,4,14,11,4,21,3,2,8,3,6
YE Jun 17p,Work related,174,58,116,57,35,15,7,0~,60,3,33,5,13,10,4,24,3,2,8,4,7
YE Sep 07,Definite job,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 07,Definite job,98,53,44,14,9,4,.,1,30,0~,16,0~,4,8,3,14,4,.,3,1,6
YE Mar 08,Definite job,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 08,Definite job,124,71,54,18,8,9,.,1,36,2,18,0~,4,9,4,16,5,.,3,2,7
YE Sep 08,Definite job,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 08,Definite job,134,72,62,26,15,11,0~,0~,36,2,14,0~,3,8,3,19,6,0~,4,2,7
YE Mar 09,Definite job,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 09,Definite job,120,52,68,32,21,10,1,0~,36,1,16,0~,3,9,3,20,6,0~,5,2,7
YE Sep 09,Definite job,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 09,Definite job,113,42,71,32,22,8,1,1,39,1,19,1,6,10,3,19,4,1,6,1,7
YE Mar 10,Definite job,113,38,75,36,24,9,2,1,40,2,20,1,7,10,2,18,4,1,5,1,7
YE Jun 10,Definite job,107,40,67,29,20,7,2,1,38,2,18,2,6,9,2,18,3,1,5,1,7
YE Sep 10,Definite job,108,44,64,32,23,7,1,0~,32,2,16,2,5,9,1,14,4,0~,3,1,6
YE Dec 10,Definite job,108,49,58,26,19,6,1,0~,32,3,15,2,4,8,1,15,5,1,3,1,6
YE Mar 11,Definite job,102,52,50,21,15,6,1,0~,29,3,13,1,3,7,1,14,3,1,3,2,6
YE Jun 11,Definite job,108,53,55,24,17,7,1,0~,30,5,14,1,3,8,1,12,3,1,2,1,5
YE Sep 11,Definite job,111,55,56,21,15,5,0~,0~,35,6,16,1,4,9,2,13,2,1,3,2,6
YE Dec 11,Definite job,120,59,60,24,17,6,0~,1,36,5,20,2,5,11,3,11,2,1,2,2,5
YE Mar 12,Definite job,124,62,62,25,17,6,0~,1,37,5,20,1,5,11,3,12,2,1,2,1,5
YE Jun 12,Definite job,122,63,59,24,17,6,0~,1,36,2,20,1,6,10,3,13,2,1,3,1,5
YE Sep 12,Definite job,123,64,59,24,18,5,0~,1,35,2,20,1,5,10,4,12,3,1,3,1,4
YE Dec 12,Definite job,110,57,53,21,15,5,0~,0~,32,2,17,1,5,9,3,14,3,0~,3,2,5
YE Mar 13,Definite job,110,55,55,23,17,5,0~,0~,32,1,17,1,5,8,3,14,3,0~,4,2,5
YE Jun 13,Definite job,111,56,55,23,18,6,.,0~,32,1,17,1,5,9,3,13,3,0~,3,2,5
YE Sep 13,Definite job,108,54,54,24,18,6,.,0~,30,1,16,1,4,9,3,14,2,0~,5,2,5
YE Dec 13,Definite job,107,53,54,24,17,7,.,0~,29,1,16,1,5,7,2,13,3,0~,4,1,4
YE Mar 14,Definite job,101,50,51,23,15,7,.,1,28,1,16,1,5,7,3,11,3,0~,4,1,3
YE Jun 14,Definite job,102,51,51,24,15,7,1,1,27,1,15,2,4,6,3,11,3,0~,4,1,3
YE Sep 14,Definite job,100,50,50,25,13,9,2,1,25,2,15,2,5,5,2,9,2,0~,2,1,4
YE Dec 14,Definite job,104,51,53,27,16,8,3,1,25,1,16,2,5,6,2,8,1,0~,3,1,4
YE Mar 15,Definite job,100,49,50,26,16,7,3,0~,24,1,14,2,5,6,1,9,1,0~,3,1,4
YE Jun 15,Definite job,98,47,51,23,15,7,1,0~,28,2,16,2,5,8,1,10,2,0~,4,1,3
YE Sep 15,Definite job,97,46,51,25,18,7,0~,0~,27,2,16,1,5,8,2,9,2,1,4,1,2
YE Dec 15,Definite job,94,43,51,23,15,7,0~,1,27,2,15,0~,4,8,3,10,3,1,3,1,2
YE Mar 16,Definite job,95,44,51,25,15,9,1,0~,27,2,15,0~,4,8,3,9,2,1,3,1,2
YE Jun 16,Definite job,98,46,52,26,16,9,1,0~,26,1,16,1,5,7,3,9,2,1,3,1,3
YE Sep 16,Definite job,99,45,54,24,13,9,3,0~,29,1,16,2,4,8,2,13,2,1,5,1,3
YE Dec 16,Definite job,110,52,57,28,15,10,4,.,29,1,17,3,4,8,2,12,2,1,5,1,3
YE Mar 17p,Definite job,116,53,62,32,18,11,4,.,30,1,17,3,4,8,1,12,2,0~,5,1,4
YE Jun 17p,Definite job,114,48,66,35,22,8,5,0~,31,2,16,3,3,8,1,14,2,0~,6,2,4
YE Sep 07,Looking for work,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 07,Looking for work,75,21,54,21,12,8,0~,0~,33,2,12,1,7,3,2,19,5,.,2,2,11
YE Mar 08,Looking for work,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 08,Looking for work,70,17,54,21,10,10,.,0~,33,1,12,1,8,3,1,20,4,1,1,2,11
YE Sep 08,Looking for work,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 08,Looking for work,84,19,65,27,8,19,.,.,38,3,14,1,8,4,2,21,4,1,2,1,13
YE Mar 09,Looking for work,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 09,Looking for work,88,23,66,28,8,19,0~,0~,38,3,15,1,7,5,2,19,3,0~,2,0~,13
YE Sep 09,Looking for work,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 09,Looking for work,90,22,68,28,13,14,0~,0~,40,1,17,1,8,5,3,21,3,.,4,1,12
YE Mar 10,Looking for work,91,22,68,30,13,16,0~,0~,38,1,18,2,8,6,2,19,3,0~,4,2,11
YE Jun 10,Looking for work,83,19,64,26,13,12,0~,0~,38,1,18,1,8,6,3,19,3,0~,4,2,10
YE Sep 10,Looking for work,74,17,57,20,11,9,0~,0~,37,1,21,2,8,7,3,15,3,0~,3,2,8
YE Dec 10,Looking for work,73,18,56,20,10,10,0~,0~,36,1,20,2,8,8,3,14,3,0~,3,1,6
YE Mar 11,Looking for work,72,17,55,16,9,7,.,0~,38,1,22,2,7,10,4,14,3,0~,3,1,7
YE Jun 11,Looking for work,73,17,56,17,8,8,0~,0~,39,2,22,2,7,10,3,15,3,0~,3,1,7
YE Sep 11,Looking for work,74,18,55,18,7,10,0~,1,37,1,21,2,6,9,4,15,3,0~,4,1,8
YE Dec 11,Looking for work,76,19,57,17,9,8,0~,0~,40,1,25,2,8,11,4,14,2,0~,4,1,7
YE Mar 12,Looking for work,78,19,59,20,10,8,0~,0~,39,1,24,1,9,11,4,14,2,.,3,1,7
YE Jun 12,Looking for work,74,19,54,17,10,7,0~,0~,37,1,24,1,8,11,4,12,2,.,3,1,6
YE Sep 12,Looking for work,70,15,55,15,10,5,.,1,40,2,27,2,11,12,3,11,2,0~,3,1,5
YE Dec 12,Looking for work,65,15,49,12,7,4,0~,1,37,2,25,2,10,10,3,11,2,0~,3,2,4
YE Mar 13,Looking for work,67,18,49,11,6,4,0~,1,38,2,25,2,10,10,2,11,2,1,3,2,4
YE Jun 13,Looking for work,70,18,51,11,5,5,0~,1,40,2,26,2,11,11,3,13,2,1,3,2,5
YE Sep 13,Looking for work,72,22,50,10,5,3,1,0~,40,2,25,1,9,11,4,14,2,1,4,2,5
YE Dec 13,Looking for work,74,21,53,13,7,5,0~,0~,41,2,24,1,10,10,3,14,2,1,3,2,6
YE Mar 14,Looking for work,75,18,57,16,11,4,1,0~,41,2,25,2,11,9,4,14,2,1,3,1,6
YE Jun 14,Looking for work,73,17,56,16,10,5,1,0~,40,2,25,2,11,9,3,14,3,1,4,1,5
YE Sep 14,Looking for work,74,17,57,20,14,6,0~,0~,37,1,25,2,12,8,3,11,2,1,3,1,5
YE Dec 14,Looking for work,67,16,51,19,13,5,0~,1,32,1,23,1,11,8,2,9,2,0~,2,0~,4
YE Mar 15,Looking for work,60,16,44,14,9,5,.,1,29,1,20,1,10,7,2,8,1,0~,3,0~,3
YE Jun 15,Looking for work,66,17,49,20,14,5,0~,1,29,1,20,1,11,6,2,8,1,0~,3,0~,4
YE Sep 15,Looking for work,63,15,48,19,12,4,2,1,29,1,19,1,11,6,2,9,2,.,3,1,3
YE Dec 15,Looking for work,65,13,52,19,13,4,2,0~,33,1,21,1,11,6,3,11,2,.,4,1,4
YE Mar 16,Looking for work,67,14,53,19,14,3,2,0~,34,0~,22,1,11,6,3,12,3,0~,4,1,3
YE Jun 16,Looking for work,63,14,49,16,10,3,3,0~,33,0~,21,1,11,6,3,11,2,0~,4,2,3
YE Sep 16,Looking for work,60,12,48,16,11,4,1,0~,31,0~,18,1,9,5,3,13,2,1,5,2,4
YE Dec 16,Looking for work,61,13,48,19,11,6,2,0~,29,0~,18,1,9,4,3,11,1,1,3,2,3
YE Mar 17p,Looking for work,58,11,47,21,12,7,2,0~,26,0~,17,1,10,4,3,9,1,1,2,2,2
YE Jun 17p,Looking for work,60,10,50,22,13,7,2,.,28,1,17,1,10,3,3,10,1,2,3,2,3
YE Sep 07,Accompany/Join,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 07,Accompany/Join,42,33,10,2,2,0~,.,.,7,0~,3,0~,1,1,1,4,1,.,2,0~,1
YE Mar 08,Accompany/Join,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 08,Accompany/Join,46,34,12,4,2,2,.,.,8,0~,4,0~,1,2,0~,4,1,.,2,0~,1
YE Sep 08,Accompany/Join,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 08,Accompany/Join,58,36,22,8,5,2,.,.,14,1,6,0~,2,3,0~,8,1,1,3,1,2
YE Mar 09,Accompany/Join,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 09,Accompany/Join,51,31,20,7,5,2,.,.,13,1,4,0~,2,2,0~,8,2,1,3,1,2
YE Sep 09,Accompany/Join,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 09,Accompany/Join,43,28,16,6,2,4,.,.,9,.,3,.,2,2,0~,6,1,.,3,0~,2
YE Mar 10,Accompany/Join,41,25,16,6,2,4,.,.,10,0~,4,.,2,2,0~,6,1,0~,3,0~,2
YE Jun 10,Accompany/Join,40,24,16,6,2,4,.,.,10,0~,3,.,1,2,0~,6,1,0~,3,1,2
